ID,CN_Key,CN_Code,Name
7685,521100000080,5211,"Woven fabrics of cotton, containing less than"
7706,521200000080,5212,Other woven fabrics of cotton
7740,530100000080,5301,"Flax, raw or processed but not spun; flax tow"
7746,530200000080,5302,"True hemp (Cannabis sativa L.), raw or proces"
7749,530300000080,5303,Jute and other textile bast fibres (excluding
7753,530600000080,5306,Flax yarn
7763,530700000080,5307,Yarn of jute or of other textile bast fibres
7766,530800000080,5308,Yarn of other vegetable textile fibres; paper
7777,530900000080,5309,Woven fabrics of flax
7786,531000000080,5310,Woven fabrics of jute or of other textile bas
7795,540100000080,5401,"Sewing thread of man-made filaments, whether"
7808,540200000080,5402,Synthetic filament yarn (other than sewing th
7836,540300000080,5403,Artificial filament yarn (other than sewing t
7847,540400000080,5404,Synthetic monofilament of 67 decitex or more
7857,540700000080,5407,"Woven fabrics of synthetic filament yarn, inc"
7899,540800000080,5408,"Woven fabrics of artificial filament yarn, in"
7914,550100000080,5501,Synthetic filament tow
7920,550200000080,5502,Artificial filament tow
7923,550300000080,5503,"Synthetic staple fibres, not carded, combed o"
7931,550400000080,5504,"Artificial staple fibres, not carded, combed"
7934,550500000080,5505,"Waste (including noils, yarn waste and garnet"
7942,550600000080,5506,"Synthetic staple fibres, carded, combed or ot"
7949,550800000080,5508,"Sewing thread of man-made staple fibres, whet"
7956,550900000080,5509,Yarn (other than sewing thread) of synthetic
7982,551000000080,5510,Yarn (other than sewing thread) of artificial
7989,551100000080,5511,Yarn (other than sewing thread) of man-made s
7993,551200000080,5512,"Woven fabrics of synthetic staple fibres, con"
8009,551300000080,5513,"Woven fabrics of synthetic staple fibres, con"
8029,551400000080,5514,"Woven fabrics of synthetic staple fibres, con"
8051,551500000080,5515,Other woven fabrics of synthetic staple fibre
8094,551600000080,5516,Woven fabrics of artificial staple fibres
8123,560100000080,5601,Wadding of textile materials and articles the
8133,560200000080,5602,"Felt, whether or not impregnated, coated, cov"
8147,560300000080,5603,"Nonwovens, whether or not impregnated, coated"
8174,560400000080,5604,"Rubber thread and cord, textile covered; text"
8185,560700000080,5607,"Twine, cordage, ropes and cables, whether or"
8206,560800000080,5608,"Knotted netting of twine, cordage or rope; ma"
8221,570100000080,5701,"Carpets and other textile floor coverings, kn"
8228,570200000080,5702,"Carpets and other textile floor coverings, wo"
8255,570300000080,5703,"Carpets and other textile floor coverings, tu"
8274,570400000080,5704,"Carpets and other textile floor coverings, of"
8282,580100000080,5801,"Woven pile fabrics and chenille fabrics, othe"
8299,580200000080,5802,Terry towelling and similar woven terry fabri
8309,580400000080,5804,"Tulles and other net fabrics, not including w"
